Produto,Data,Preco
PINHA,2024-09-20,140.0
PINHA,2024-09-20,140.0
PINHA,2024-09-20,140.0
PINHA,2024-09-20,140.0
PINHA,2024-09-18,170.0
PINHA,2024-09-16,190.0
PINHA,2024-09-13,190.0
PINHA,2024-09-11,140.0
PINHA,2024-09-04,140.0
PINHA,2024-09-02,140.0
PINHA,2024-08-30,140.0
PINHA,2024-08-28,140.0
PINHA,2024-08-26,140.0
PINHA,2024-08-23,140.0
PINHA,2024-08-21,140.0
PINHA,2024-08-16,140.0
PINHA,2024-08-14,140.0
PINHA,2024-08-12,140.0
PINHA,2024-08-09,140.0
PINHA,2024-08-07,140.0
PINHA,2024-08-07,140.0
PINHA,2024-08-05,170.0
PINHA,2024-08-02,160.0
PINHA,2024-07-31,160.0
PINHA,2024-07-29,160.0
PINHA,2024-07-26,160.0
PINHA,2024-07-24,160.0
PINHA,2024-07-22,160.0
PINHA,2024-07-19,160.0
PINHA,2024-07-17,200.0
PINHA,2024-07-15,160.0
PINHA,2024-07-12,160.0
PINHA,2024-07-10,160.0
PINHA,2024-07-08,160.0
PINHA,2024-07-05,160.0
PINHA,2024-07-01,140.0
PINHA,2024-06-28,140.0
PINHA,2024-06-26,140.0
PINHA,2024-06-21,140.0
PINHA,2024-06-14,140.0
PINHA,2024-06-10,120.0
PINHA,2024-06-07,140.0
PINHA,2024-06-05,140.0
PINHA,2024-06-03,140.0
PINHA,2024-05-31,140.0
PINHA,2024-05-29,140.0
PINHA,2024-05-27,130.0
PINHA,2024-05-22,190.0
PINHA,2024-05-20,130.0
PINHA,2024-05-17,130.0
PINHA,2024-05-15,130.0
PINHA,2024-05-13,120.0
PINHA,2024-05-10,130.0
PINHA,2024-05-08,130.0
PINHA,2024-05-03,120.0
PINHA,2024-04-29,110.0
PINHA,2024-04-26,140.0
PINHA,2024-04-24,120.0
PINHA,2024-04-22,100.0
PINHA,2024-04-19,100.0
PINHA,2024-04-17,110.0
PINHA,2024-04-15,120.0
PINHA,2024-04-12,120.0
PINHA,2024-04-10,100.0
PINHA,2024-04-08,120.0
PINHA,2024-04-05,120.0
PINHA,2024-04-03,120.0
PINHA,2024-04-01,120.0
PINHA,2024-03-27,110.0
PINHA,2024-03-25,110.0
PINHA,2024-03-22,120.0
PINHA,2024-03-20,120.0
PINHA,2024-03-18,110.0
PINHA,2024-03-15,120.0
PINHA,2024-03-13,120.0
PINHA,2024-03-11,120.0
PINHA,2024-03-08,120.0
PINHA,2024-03-06,130.0
PINHA,2024-03-04,130.0
PINHA,2024-03-01,130.0
PINHA,2024-02-28,130.0
PINHA,2024-02-26,110.0
PINHA,2024-02-23,110.0
PINHA,2024-02-21,130.0
PINHA,2024-02-16,130.0
PINHA,2024-01-29,180.0
PINHA,2024-01-24,130.0
PINHA,2024-01-22,130.0
PINHA,2024-01-19,130.0
PINHA,2024-01-17,130.0
PINHA,2024-01-15,130.0
PINHA,2024-01-12,130.0
PINHA,2024-01-10,130.0
PINHA,2024-01-08,130.0
PINHA,2024-01-05,130.0
PINHA,2024-01-03,140.0
PINHA,2023-12-29,130.0
PINHA,2023-12-27,140.0
PINHA,2023-12-22,130.0
PINHA,2023-12-20,130.0
PINHA,2023-12-18,130.0
PINHA,2023-12-15,140.0
PINHA,2023-12-13,130.0
PINHA,2023-12-11,140.0
PINHA,2023-12-06,130.0
PINHA,2023-12-01,140.0
PINHA,2023-11-29,130.0
PINHA,2023-11-27,130.0
PINHA,2023-11-24,140.0
PINHA,2023-11-20,130.0
PINHA,2023-11-17,120.0
PINHA,2023-11-13,120.0
PINHA,2023-11-10,130.0
PINHA,2023-11-06,130.0
PINHA,2023-11-03,130.0
PINHA,2023-11-01,140.0
PINHA,2023-10-30,130.0
PINHA,2023-10-25,140.0
PINHA,2023-10-23,130.0
PINHA,2023-10-20,140.0
PINHA,2023-10-18,140.0
PINHA,2023-10-13,140.0
PINHA,2023-10-11,140.0
PINHA,2023-10-04,125.0
PINHA,2023-10-02,120.0
PINHA,2023-09-29,130.0
PINHA,2023-09-27,120.0
PINHA,2023-09-25,120.0
PINHA,2023-09-22,120.0
PINHA,2023-09-20,120.0
PINHA,2023-09-15,120.0
PINHA,2023-09-11,120.0
PINHA,2023-09-08,120.0
PINHA,2023-09-06,120.0
PINHA,2023-09-04,120.0
PINHA,2023-09-01,120.0
PINHA,2023-08-30,120.0
PINHA,2023-08-28,120.0
PINHA,2023-08-25,120.0
PINHA,2023-08-23,170.0
PINHA,2023-08-21,120.0
PINHA,2023-08-16,120.0
PINHA,2023-08-14,120.0
PINHA,2023-08-11,170.0
PINHA,2023-08-09,120.0
PINHA,2023-08-04,170.0
PINHA,2023-08-02,120.0
PINHA,2023-07-31,120.0
PINHA,2023-07-28,120.0
PINHA,2023-07-26,120.0
PINHA,2023-07-24,150.0
PINHA,2023-07-21,120.0
PINHA,2023-07-19,170.0
PINHA,2023-07-17,120.0
PINHA,2023-07-14,120.0
PINHA,2023-07-12,120.0
PINHA,2023-07-10,120.0
PINHA,2023-07-07,120.0
PINHA,2023-07-05,120.0
PINHA,2023-07-03,120.0
PINHA,2023-06-30,120.0
PINHA,2023-06-28,120.0
PINHA,2023-06-26,120.0
PINHA,2023-06-21,120.0
PINHA,2023-06-19,130.0
PINHA,2023-06-16,120.0
PINHA,2023-06-14,120.0
PINHA,2023-06-12,130.0
PINHA,2023-06-09,160.0
PINHA,2023-06-07,120.0
PINHA,2023-06-05,120.0
PINHA,2023-05-31,120.0
PINHA,2023-05-29,100.0
PINHA,2023-05-26,100.0
PINHA,2023-05-24,100.0
PINHA,2023-05-15,120.0
PINHA,2023-05-10,120.0
PINHA,2023-05-08,130.0
PINHA,2023-05-05,130.0
PINHA,2023-05-03,130.0
PINHA,2023-04-28,130.0
PINHA,2023-04-26,120.0
PINHA,2023-04-17,140.0
PINHA,2023-04-12,140.0
PINHA,2023-04-10,130.0
PINHA,2023-04-05,140.0
PINHA,2023-04-03,140.0
PINHA,2023-03-31,130.0
PINHA,2023-03-29,120.0
PINHA,2023-03-27,120.0
PINHA,2023-03-24,120.0
PINHA,2023-03-22,120.0
PINHA,2023-03-20,120.0
PINHA,2023-03-17,120.0
PINHA,2023-03-15,120.0
PINHA,2023-03-13,130.0
PINHA,2023-03-10,120.0
PINHA,2023-03-08,120.0
PINHA,2023-03-06,110.0
PINHA,2023-03-03,110.0
PINHA,2023-03-01,100.0
PINHA,2023-02-27,100.0
PINHA,2023-02-24,100.0
PINHA,2023-02-15,100.0
PINHA,2023-02-13,90.0
PINHA,2023-02-10,90.0
PINHA,2023-02-08,90.0
PINHA,2023-02-06,80.0
PINHA,2023-02-03,90.0
PINHA,2023-02-01,85.0
PINHA,2023-01-16,140.0
PINHA,2023-01-13,110.0
PINHA,2023-01-11,110.0
PINHA,2023-01-09,100.0
PINHA,2023-01-06,100.0
PINHA,2023-01-04,150.0
PINHA,2022-12-30,160.0
PINHA,2022-12-28,120.0
PINHA,2022-12-23,170.0
PINHA,2022-12-21,140.0
PINHA,2022-12-14,140.0
PINHA,2022-12-07,170.0
PINHA,2022-12-05,140.0
PINHA,2022-12-02,170.0
PINHA,2022-11-25,170.0
PINHA,2022-11-23,140.0
PINHA,2022-11-21,170.0
PINHA,2022-11-18,180.0
PINHA,2022-11-16,130.0
PINHA,2022-11-09,170.0
PINHA,2022-11-07,120.0
PINHA,2022-11-04,120.0
PINHA,2022-10-31,120.0
PINHA,2022-10-26,170.0
PINHA,2022-10-24,120.0
PINHA,2022-10-21,120.0
PINHA,2022-10-19,120.0
PINHA,2022-10-17,120.0
PINHA,2022-10-14,120.0
PINHA,2022-10-10,120.0
PINHA,2022-10-07,160.0
PINHA,2022-10-05,110.0
PINHA,2022-09-16,110.0
PINHA,2022-09-12,110.0
PINHA,2022-09-09,110.0
PINHA,2022-09-05,110.0
PINHA,2022-09-02,110.0
PINHA,2022-08-31,110.0
PINHA,2022-08-29,110.0
PINHA,2022-08-22,120.0
PINHA,2022-08-19,110.0
PINHA,2022-08-17,110.0
PINHA,2022-08-15,110.0
PINHA,2022-08-12,110.0
PINHA,2022-08-10,110.0
PINHA,2022-08-08,110.0
PINHA,2022-08-05,110.0
PINHA,2022-08-03,110.0
PINHA,2022-08-01,110.0
PINHA,2022-07-29,110.0
PINHA,2022-07-20,110.0
PINHA,2022-07-18,110.0
PINHA,2022-07-15,110.0
PINHA,2022-07-13,110.0
